Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Exam_Score,Extracurricular_Activities_No,Extracurricular_Activities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male,Internet_Access_No,Internet_Access_Yes,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Learning_Disabilities_No,Learning_Disabilities_Yes
23,84,1,0,7,73,1,0,1,2,3,1,67,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
19,64,1,2,8,59,1,2,2,2,4,0,61,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
24,98,2,2,7,91,2,2,2,2,4,2,74,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
29,89,1,2,8,98,2,1,2,2,4,1,71,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
19,92,2,2,6,65,2,3,2,0,4,0,70,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
19,88,2,2,8,89,2,3,2,2,3,2,71,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
29,84,2,1,7,68,1,1,1,2,2,1,67,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
25,78,1,0,6,50,2,1,0,0,2,1,66,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0
17,94,2,0,6,80,0,0,2,1,1,0,69,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
23,98,2,2,8,71,2,0,0,0,5,1,72,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
17,80,1,0,8,88,2,4,2,0,4,0,68,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
17,97,2,0,6,87,1,2,1,0,2,1,71,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
21,83,2,2,8,97,1,2,2,2,4,1,70,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
9,82,2,2,8,72,2,2,2,2,3,2,66,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
10,78,2,0,8,74,2,1,1,2,4,2,65,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
17,68,2,2,8,70,2,2,2,2,4,1,64,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
14,60,2,1,10,65,1,0,0,2,3,0,60,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
22,70,1,2,6,82,2,1,1,0,3,1,65,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
15,80,2,2,9,91,1,3,1,2,2,0,67,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
12,75,2,0,7,58,2,3,2,2,4,0,66,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
29,78,2,2,5,99,0,0,0,2,1,1,69,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
19,99,2,0,6,84,2,1,2,0,3,1,72,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,74,2,0,8,89,1,1,2,2,2,0,66,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
11,78,0,2,8,100,0,1,1,2,3,1,66,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
17,65,1,0,5,75,2,2,1,2,3,1,63,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
21,62,0,1,6,54,0,0,0,0,3,2,64,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
13,91,1,2,6,90,2,1,0,2,2,1,65,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
22,83,0,0,6,94,2,0,0,2,2,0,71,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
16,90,2,2,4,58,2,1,1,2,3,1,66,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
18,66,0,0,4,51,1,2,1,2,2,0,64,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
16,83,1,2,6,57,2,0,0,1,4,1,63,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
31,70,2,0,7,66,2,1,0,2,3,0,69,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
20,69,2,2,8,96,2,2,2,0,3,1,67,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
25,65,0,2,5,90,2,2,2,2,3,0,68,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
13,72,1,2,6,93,1,1,1,2,3,1,61,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
21,65,2,1,7,91,1,2,2,0,3,1,64,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
8,99,2,2,9,54,1,2,1,2,5,2,67,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
12,72,1,2,8,84,2,1,1,2,5,1,63,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
21,65,1,2,6,98,1,1,2,0,4,1,64,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
24,68,0,2,8,56,1,3,0,0,1,0,67,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
21,84,2,2,6,52,1,1,2,0,2,0,65,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1
19,63,1,0,7,94,2,1,2,2,3,1,64,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
18,94,2,0,7,82,2,3,2,2,2,0,70,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1
11,98,2,2,9,82,1,1,2,2,3,2,68,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
16,70,2,2,8,98,2,2,2,2,3,1,65,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
17,78,2,2,6,88,2,1,2,0,3,0,68,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
26,61,2,1,6,70,2,2,1,2,3,1,64,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
22,86,1,2,7,72,1,3,1,0,2,1,68,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
9,77,2,2,5,57,2,2,2,0,3,1,63,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
22,71,1,2,7,65,1,1,2,1,4,0,64,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
18,68,0,2,7,72,2,0,2,2,3,0,64,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
16,86,1,2,8,63,2,2,2,2,4,1,67,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
24,77,0,1,8,96,2,0,2,2,3,1,67,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
26,67,2,0,7,51,1,2,0,0,4,2,66,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
26,88,2,0,5,79,2,1,1,0,4,0,72,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
15,83,2,0,5,89,1,1,2,0,2,1,65,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1
18,94,2,2,6,87,0,1,2,2,4,1,71,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
22,65,0,1,8,82,2,2,2,0,1,2,66,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
26,91,2,1,8,71,2,0,1,2,3,1,68,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
17,87,2,2,7,96,2,1,0,2,5,2,70,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
19,65,2,2,10,66,1,0,1,2,3,1,62,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
13,88,1,0,9,88,0,2,1,0,4,2,68,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
13,78,2,0,9,96,0,2,1,2,3,0,67,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
25,98,1,0,8,56,2,0,2,0,3,2,71,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
28,66,2,0,8,97,2,0,2,2,2,1,68,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
